f,t,dt,uScroll,uScrollDelta,camZ
3,2152.7,16.699999999999818,0,0,39.99998125172868
4,2169.3,16.600000000000364,0,0,39.999902137954685
5,2186,16.699999999999818,38.56290847451724,0.37595044820235807,39.99969148689269
6,2202.6,16.59999999999991,74.02910003087479,0.6852996488816119,39.999263218564984
7,2219.3,16.700000000000273,106.69949681093708,0.9368603018629889,39.99850098363281
8,2236,16.699999999999818,136.3417251294647,1.1343255491279207,39.9972807445305
9,2252.6,16.59999999999991,162.95727843417944,1.283702962097022,39.99547609967421
10,2269.4,16.800000000000182,187.3186995494966,1.395019587414196,39.99288476436677
11,2286,16.59999999999991,208.94788703716372,1.4704490238171466,39.98941689338765
12,2302.7,16.699999999999818,228.58151227501835,1.518216535808802,39.9848299707339
13,2319.3,16.600000000000364,246.13450158194536,1.5419289554268754,39.97900686681392
14,2335.9,16.59999999999991,261.9497858330955,1.5463921560295018,39.97172905083792
15,2352.7,16.799999999999727,276.3864028342218,1.5351742758190405,39.96266658199447
16,2369.4,16.700000000000273,289.2707717645644,1.510820477758811,39.95178729107363
17,2386,16.59999999999991,300.78757719305054,1.476386610417071,39.93891937140269
18,2402.6,16.59999999999991,311.16316049348825,1.4341681303980593,39.92378396771253
19,2419.3,16.700000000000273,320.57093630328217,1.3857877675374901,39.906041437820186
20,2435.9,16.59999999999991,328.976536979651,1.3331579110860932,39.88571850057343
21,2452.6,16.699999999999818,336.59824347924376,1.2772323266584131,39.862317442871074
22,2469.3,16.700000000000273,343.4538586340638,1.219301203820781,39.835747920119054
23,2485.9,16.59999999999991,349.5802221659716,1.1606150741509789,39.80599684536308
24,2502.6,16.699999999999818,355.1357819313051,1.1014014630708435,39.772436446033694
25,2519.3,16.700000000000273,360.13319370285393,1.0425307482094184,39.73503373033529
26,2535.9,16.59999999999991,364.5991477974691,0.9848220025623321,39.69384971393029
27,2552.6,16.699999999999818,368.6490678322885,0.9281022567665749,39.648102762263
28,2569.3,16.700000000000273,372.29213955420823,0.8729568167385082,39.59783200032143
29,2586,16.699999999999818,375.5696698622549,0.8196345978419864,39.542808571755316
30,2602.6,16.59999999999991,378.498876221985,0.7685893506528596,39.483214859677304
31,2619.3,16.700000000000273,381.15532351760993,0.7194073345020435,39.4180250083316
32,2635.9,16.59999999999991,383.52902181087137,0.6726798238900251,39.34787822986906
33,2652.7,16.799999999999727,385.695834553785,0.6277134138109415,39.27108961259867
34,2669.3,16.600000000000364,387.61678044906296,0.5854768695713466,39.1894530475547
35,2686,16.699999999999818,389.3590558156682,0.5452699459373958,39.1011598667235
36,2702.6,16.59999999999991,390.9159855867619,0.5074912285839981,39.00715022074533
37,2719.3,16.700000000000273,392.32784609955155,0.47168112396296896,38.905945678003306
38,2736,16.699999999999818,393.59785811807103,0.4379862514017412,38.79792611281586
39,2752.7,16.699999999999818,394.74043102041674,0.40634046141093566,38.682861018369124
40,2769.3,16.600000000000364,395.7615716681122,0.37683090984445555,38.561342068966354
41,2786,16.699999999999818,396.6876247954007,0.349048233598473,38.43153054472677
42,2802.6,16.59999999999991,397.51510901399115,0.323214921413831,38.29490637763802
43,2819.3,16.700000000000273,398.26546376517706,0.2989568445832753,38.149433183626435
44,2835.9,16.59999999999991,398.93591379576094,0.27645749615485427,37.996794142210234
45,2852.6,16.699999999999818,399.5438526735042,0.25537851065133926,37.834743465250284
46,2869.3,16.700000000000273,400.09069195170486,0.2357629679729979,37.66404080732286
47,2885.9,16.59999999999991,400.57936582497916,0.21762893964600322,37.48565153019377
48,2902.6,16.699999999999818,401.02251087427265,0.20069005267132614,37.296993547761765
49,2919.3,16.700000000000273,401.4211355411542,0.18497181344561117,37.09899339920265
50,2936,16.699999999999818,401.7797613127923,0.17039906286567824,36.891419713770155
51,2952.6,16.59999999999991,402.100272966117,0.15697389127172737,36.67548402006415
52,2969.3,16.700000000000273,402.3909391741024,0.1444735829756997,36.44811440364137
53,2986,16.699999999999818,402.65241172686757,0.13290975972863825,36.21048080940137
54,3002.6,16.59999999999991,402.8860818096459,0.122279032556111,35.963994613862404
55,3019.3,16.700000000000273,403.09798607849575,0.11240004525162002,35.70518555602109
56,3036,16.699999999999818,403.2886038651167,0.10327856602585392,35.43542155058959
57,3052.6,16.59999999999991,403.45895149140017,0.09490838596788335,35.156327051739716
58,3069.3,16.700000000000273,403.61343077879536,0.08714326725811551,34.864006892713036
59,3085.9,16.59999999999991,403.7514644772009,0.08002517775382019,34.56204616374774
60,3102.6,16.699999999999818,403.87663067133695,0.07342815362500027,34.24625173941556
61,3119.3,16.700000000000273,403.9892185166746,0.06735293425083898,33.91835095583837
62,3136,16.699999999999818,404.0905072567557,0.06176101842267931,33.57811135105793
63,3152.6,16.59999999999991,404.1810303230834,0.05664497415739698,33.2276233458474
64,3169.3,16.700000000000273,404.26312360365546,0.05191193015495982,32.862062320865725
65,3185.9,16.59999999999991,404.3364787064317,0.04758510235417656,32.48596030801804
66,3202.6,16.699999999999818,404.4029963160488,0.043585225805906014,32.09415923072941
67,3219.2,16.59999999999991,404.4624304683444,0.03993141071194593,31.691530026305823
68,3235.9,16.700000000000273,404.5163230993288,0.036556105047623876,31.272569416536033
69,3252.6,16.699999999999818,404.5647993547049,0.03345771228514493,30.839657281854628
70,3269.3,16.700000000000273,404.60841035728976,0.030614555051894032,30.392560436928402
71,3286,16.699999999999818,404.6476477781739,0.02800649393675852,29.931045876691364
72,3302.7,16.699999999999818,404.6829519135691,0.025614855995452945,29.454880750587204
73,3319.2,16.5,404.7142939963044,0.02344687448841853,28.97026544892521
74,3336,16.800000000000182,404.7431356944519,0.021424538000573205,28.460900343185912
75,3352.6,16.59999999999991,404.7687004325288,0.01959288795483583,27.94287309104743
76,3369.3,16.700000000000273,404.79188516917384,0.017904982150427646,27.40591423131447
77,3385.9,16.59999999999991,404.81260240388065,0.01636791241828646,26.856769642492367
78,3402.6,16.699999999999818,404.8313887336108,0.014952158688713782,26.288031893624076
79,3419.3,16.700000000000273,404.8482873432385,0.013656299659022965,25.703031219377376
80,3435.9,16.59999999999991,404.86338868412525,0.012477136691659148,25.106117693963412
81,3452.6,16.699999999999818,404.8770831515895,0.01139181332025593,24.493619535824152
82,3469.2,16.59999999999991,404.88931965979083,0.01040466122203241,23.877523236233735
83,3485.9,16.700000000000273,404.90041544465623,0.009496453326639693,23.25333773216912
84,3502.6,16.699999999999818,404.9103961609448,0.008568790860875256,22.62805074931002
85,3519.3,16.700000000000273,404.9193752223131,0.007731747242041167,22.004199842008685
86,3535.9,16.59999999999991,404.9273999219972,0.00698076583011164,21.387869197188014
87,3552.6,16.699999999999818,404.9346773347847,0.006298848674291011,20.772934812450366
88,3569.2,16.59999999999991,404.94118012366744,0.005687044107629996,20.16876609736783
89,3585.9,16.700000000000273,404.94707678136325,0.00513150435206716,19.568882822102825
90,3602.6,16.699999999999818,404.95238089462134,0.004630232580745353,18.978277175250152
91,3619.2,16.59999999999991,404.9571208704866,0.004180500005145499,18.401484732143704
92,3636,16.800000000000182,404.9614479396634,0.003769806132333696,17.828270147894
93,3652.6,16.59999999999991,404.965284125368,0.003403646421813574,17.27372223904074
94,3669.2,16.59999999999991,404.96874033903197,0.003073051652540226,16.730969611539038
95,3685.9,16.700000000000273,404.9718742484837,0.0027728601415242127,16.19705192032722
96,3702.6,16.699999999999818,404.97469316350504,0.002501992883229955,15.67578635839701
97,3719.3,16.700000000000273,404.97722914857275,0.002257585333637594,15.16739363514885
98,3736,16.699999999999818,404.9795108026347,0.002037052772138981,14.67203102530667
99,3752.6,16.59999999999991,404.9815500334755,0.001839194678863802,14.192807122520998
100,3769.2,16.59999999999991,404.9833870700863,0.0016605544603584467,13.726587004642132
101,3785.9,16.700000000000273,404.98505269045705,0.0014983429491502544,13.270551692498179
102,3802.6,16.699999999999818,404.9865508435821,0.0013519770937134314,12.827707461420996
103,3819.3,16.700000000000273,404.98789860303026,0.001219909008790293,12.398004870541754
104,3835.9,16.59999999999991,404.9891030925163,0.0011014197512954984,11.98395681180719
105,3852.6,16.699999999999818,404.99019540577876,0.0009938273978994988,11.580194677562647
106,3869.2,16.59999999999991,404.9911714457916,0.0008972973537678726,11.191714498249402
107,3885.9,16.700000000000273,404.99205650564335,0.000809644727351525,10.813441171404927
108,3902.5,16.59999999999991,404.99284731421454,0.0007310042698360997,10.450014949635152
109,3919.2,16.699999999999818,404.9935643887228,0.0006595960082340347,10.09665645501152
110,3935.9,16.700000000000273,404.99420939470406,0.000595163273363395,9.75555529748877
111,3952.5,16.59999999999991,404.994785793388,0.000537355310768766,9.428567769290128
112,3969.3,16.800000000000182,404.9953119783017,0.00048456532550767675,9.109394714539176
113,3985.9,16.59999999999991,404.99577846891754,0.0004374996958472616,8.805855838128297
114,4002.6,16.699999999999818,404.9962015762774,0.0003947624725217538,8.511854148674578
115,4019.2,16.59999999999991,404.9965796758009,0.00035641935683126816,8.230899970901314
116,4035.9,16.700000000000273,404.9969225468001,0.0003216024785682259,7.9592233475161525
117,4052.6,16.699999999999818,404.9972309705561,0.00029018669227381553,7.698437297911025
118,4069.2,16.59999999999991,404.9975065944136,0.00026200097886844336,7.44986663723227
119,4085.9,16.700000000000273,404.99775654198726,0.00023640737400040313,7.210146608801908
120,4102.5,16.59999999999991,404.9979798800043,0.0002134452235369194,6.982081023875508
121,4119.2,16.699999999999818,404.9981823981511,0.00019259479490200463,6.7625631119632095
122,4135.9,16.699999999999818,404.99836456445763,0.00017378114351164823,6.5528509510496935
123,4152.5,16.600000000000364,404.9985273552606,0.00015690185291462977,6.3539463218030345
124,4169.2,16.699999999999818,404.9986749796051,0.00014157487190904865,6.163110856224941
125,4185.9,16.699999999999818,404.9988077731582,0.00012774510933895192,5.981409673792976
126,4202.5,16.600000000000364,404.9989264448272,0.00011533727970158084,5.8096705982385135
127,4219.3,16.800000000000182,404.9990347797598,0.00010400650251657477,5.644498581689617
128,4235.9,16.599999999999454,404.99913082511625,0.00009390439394206749,5.48978552329483
129,4252.6,16.700000000000728,404.999217938704,0.00008473132915312674,5.342294087209287
130,4269.2,16.599999999999454,404.99929578581146,0.0000765014101956001,5.203646267950632
131,4285.9,16.699999999999818,404.9993663797931,0.00006902835848086917,5.07186786387421
132,4302.6,16.700000000000728,404.99942988145125,0.0000622853129423411,4.9476288121901675
133,4319.2,16.599999999999454,404.9994866299304,0.00005623556625616231,4.831405622122267
134,4335.9,16.699999999999818,404.99953809190475,0.00005074218654244236,4.721508811386135
135,4352.5,16.600000000000364,404.99958407521467,0.000045813618949488325,4.619082628818104
136,4369.2,16.699999999999818,404.9996257719015,0.000041338308719609795,4.522612700394237
137,4385.9,16.699999999999818,404.99966327832675,0.000037300169839930374,4.432532736158671
138,4402.5,16.600000000000364,404.99969679550856,0.00003367721976995269,4.349113900702103
139,4419.2,16.699999999999818,404.99972719005154,0.000030387455511937874,4.271082934134215
140,4435.9,16.699999999999818,404.9997545310663,0.00002741905236826801,4.198749854877228
141,4452.6,16.700000000000728,404.99977912864557,0.000024740618130348854,4.131883198101213
142,4469.2,16.599999999999454,404.99980111204883,0.000022337572123553482,4.070616608801164
143,4485.8,16.600000000000364,404.9998209153934,0.00002016793298154815,4.0142920518071366
144,4502.6,16.800000000000182,404.9998389905014,0.000018186627756669287,3.962071308936949
145,4519.2,16.599999999999454,404.999855013551,0.000016420168124275222,3.915004942392392
