f,t,dt,uScroll,uScrollDelta,camZ
15,2165.5,16.59999999999991,0,0,39.963732663748495
16,2182.2,16.699999999999818,0,0,39.95335196759827
17,2198.9,16.700000000000273,38.475,0.37584361384859366,39.941007692825615
18,2215.5,16.59999999999991,74.11500000000001,0.685507925080274,39.926553166370475
19,2232.3,16.800000000000182,106.69725000000001,0.9382526058235673,39.90941187064323
20,2248.8,16.5,136.2744,1.1332795228258303,39.88993813594555
21,2265.5,16.699999999999818,163.0203975,1.2838436201043384,39.86723618097772
22,2282.2,16.699999999999818,187.1550765,1.3941911371016324,39.84131457091484
23,2298.9,16.700000000000273,208.907928225,1.4704924249560065,39.81192945384451
24,2315.6,16.699999999999818,228.50131509,1.5182454452432228,39.77884010278693
25,2332.2,16.59999999999991,246.14327342475002,1.542134504732208,39.742065949338375
26,2348.9,16.700000000000273,262.02499100415,1.546631660708109,39.70087641471226
27,2365.5,16.59999999999991,276.3205143646726,1.5352597943258606,39.65559146139479
28,2382.2,16.699999999999818,289.18747415867404,1.5109788008304297,39.605371394254355
29,2398.9,16.700000000000273,300.768232358041,1.4765054202775927,39.55027911612253
30,2415.5,16.59999999999991,311.19116192985416,1.4343305433182991,39.49049528421295
31,2432.2,16.699999999999818,320.5719221406773,1.385853845975642,39.424992021809246
32,2448.9,16.700000000000273,329.0146681285139,1.332949596086094,39.35392805088307
33,2465.5,16.59999999999991,336.6131704166147,1.2772846915645593,39.277595467770944
34,2482.2,16.699999999999818,343.45183792542934,1.21931657113599,39.19475010878141
35,2498.8,16.600000000000364,349.60664640812445,1.1606662571078696,39.106260780335866
36,2515.6,16.799999999999727,355.145977904931,1.1010605713416421,39.01007845625602
37,2532.2,16.59999999999991,360.1313781832474,1.0425380001404871,38.90849696497286
38,2548.8,16.600000000000364,364.6182393993274,0.9848574127834173,38.80005869271113
39,2565.6,16.799999999999727,368.6564149765971,0.9277758416705306,38.68297622763101
40,2582.2,16.59999999999991,372.2907732375386,0.8729617293568956,38.56008314038014
